pyramid_group,subitem,sex,age_band,g_per_capita_per_day,source_note
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,75+,23.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Sweets, snacks & discretionary",(total),male,75+,123.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,75+,159.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target) | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,75+,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target) | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Fish, eggs & meat",Poultry,male,75+,43.940298507462686,split from RTU011 combined meat figure (128.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433 | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Red meat,male,75+,84.0597014925373,split from RTU011 combined meat figure (128.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567 | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Vegetables, fruits & berries",Legumes,male,75+,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
Grain products & potatoes,High-fibre bread/baked goods,female,75+,71.0,"direct from RTU011 '..leib, sepik, sai' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,75+,107.0,"direct from RTU011 '..pudrud, riis, makaronid' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
Grain products & potatoes,"Potato, sweet potato",female,75+,78.0,direct from RTU011 '..kartul' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Vegetables, fruits & berries",Vegetables,female,75+,134.0,direct from RTU011 '..köögiviljad' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
Dairy products,(total),female,75+,245.0,direct from RTU011 'Piim ja piimatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Fish & seafood,female,75+,21.0,direct from RTU011 '..kala ja kalatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Eggs,female,75+,17.0,direct from RTU011 '..muna ja munatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,75+,14.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Sweets, snacks & discretionary",(total),female,75+,80.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,75+,249.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target) | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,75+,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target) | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
"Fish, eggs & meat",Poultry,female,75+,28.149253731343283,split from RTU011 combined meat figure (82.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433 | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Red meat,female,75+,53.85074626865671,split from RTU011 combined meat figure (82.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567 | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Vegetables, fruits & berries",Legumes,female,75+,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
